SMILES,IGC50,MolLogP,HeavyAtomCount,HAccept,Heteroatoms,HDonor,MolWt,RotableBonds,RingCount,HallKierAlpha,NumValenceElectrons,SaturatedRings,AliphaticRings,AromaticRings,FractionCSP3,TPSA,LabuteASA,MolMR
Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,6.04,6.609000000000001,21,2,8,2,406.90700000000004,2,2,-0.22000000000000003,112,0,0,2,0.07692307692307693,40.46,150.26150430563968,89.07959999999999
Oc1ccc(O)cc1,3.47,1.0977999999999999,8,2,2,2,110.11199999999998,0,1,-1.1800000000000002,42,0,0,1,0.0,40.46,47.01987062388899,29.771599999999996
O=C(OCc1ccccc1)c1ccccc1,4.4499998,3.0436000000000014,16,2,2,0,212.248,3,2,-2.0899999999999994,80,0,0,2,0.07142857142857142,26.3,94.49344888390488,62.00350000000004
Oc1ccc(OCc2ccccc2)cc1,4.04,2.9712000000000014,15,2,2,1,200.23700000000002,3,2,-1.9599999999999995,76,0,0,2,0.07692307692307693,29.46,88.7612184216605,58.880800000000036
Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,4.4099998,2.1936,17,4,4,2,229.23500000000004,2,2,-2.4899999999999993,86,0,0,2,0.0,72.55000000000001,98.26263121871698,63.91970000000002
O=C1CCO1,2.875,-0.06669999999999998,5,2,2,0,72.063,0,1,-0.53,28,1,1,0,0.6666666666666666,26.3,29.738371432644183,15.576
CC(C)(C)CC(C)(C)c1ccc(O)cc1,5.0999999,4.106000000000003,15,1,1,1,206.329,2,1,-0.98,84,0,0,1,0.5714285714285714,20.23,93.14517378686585,65.20480000000005
CC(C)O,1.118,0.38710000000000006,4,1,1,1,60.096000000000004,0,0,-0.04,26,0,0,0,1.0,20.23,26.263369008818774,17.354800000000004
CC1=CC(=O)c2ccccc2C1=O,4.54,2.0119000000000002,13,2,2,0,172.18299999999996,0,2,-1.7,64,0,1,1,0.09090909090909091,34.14,75.88372370585405,48.86000000000002
CCO,1.0089999,-0.0014000000000000123,3,1,1,1,46.069,0,0,-0.04,20,0,0,0,1.0,20.23,19.89842689442217,12.759800000000002
COc1ccc(C(=O)c2ccccc2)c(O)c1,4.4200001,2.631800000000001,17,3,3,1,228.247,3,2,-2.2899999999999996,86,0,0,2,0.07142857142857142,46.53,99.28768263610088,64.53330000000003
COc1ccc(O)cc1,2.8599999,1.4008,9,2,2,1,124.13899999999997,1,1,-1.1800000000000002,48,0,0,1,0.14285714285714285,29.46,53.704124215596465,34.6588
CS(C)=O,0.54799998,-0.005299999999999971,4,1,2,0,78.136,0,0,0.14999999999999997,26,0,0,0,1.0,17.07,28.478447345802074,19.990399999999998
CC(=O)Nc1ccc(O)cc1,2.1800001,1.3505999999999998,11,2,3,2,151.165,1,1,-1.5099999999999998,58,0,0,1,0.125,49.33,64.66690538413799,42.41050000000002
CCCCCCCCCC=O,4.2820001,3.3260000000000023,11,1,1,0,156.269,8,0,-0.33,66,0,0,0,0.9,17.07,70.1852521574428,48.67400000000003
COc1ccc(C(C)=O)c(O)c1,3.55,1.6034,12,3,3,1,166.176,2,1,-1.5100000000000002,64,0,0,1,0.2222222222222222,46.53,70.59553054443344,44.66330000000002
CC1=CC(=O)c2c(O)cccc2C1=O,5.1999998,1.7175,14,3,3,1,188.182,0,2,-1.8999999999999997,70,0,1,1,0.09090909090909091,54.37,80.67795745805006,50.52480000000002
S=C=Nc1cccc2ccccc12,5.1370001,3.5741000000000014,13,2,2,0,185.251,1,2,-1.5,62,0,0,2,0.0,12.36,81.73211249869378,58.63400000000003
C=CCc1ccc(O)c(OC)c1,3.4200001,2.1292999999999997,12,2,2,1,164.20399999999995,3,1,-1.44,64,0,0,1,0.2,29.46,72.10934752660204,48.55980000000003
COc1cc(C=O)ccc1O,2.97,1.2132999999999998,11,3,3,1,152.14899999999997,2,1,-1.51,58,0,0,1,0.125,46.53,64.23058843003683,40.046300000000016
O=C(O)c1ccccc1O,2.49,1.0903999999999998,10,2,3,2,138.12199999999999,1,1,-1.51,52,0,0,1,0.0,57.53,57.54633483832936,35.066100000000006
c1ccc2ccccc2c1,2.8800001,2.839800000000001,10,0,0,0,128.17399999999995,0,2,-1.2999999999999998,48,0,0,2,0.0,0.0,60.11306765123217,43.94800000000003
Oc1cccc(O)c1O,3.8499999,0.8033999999999997,9,3,3,3,126.11099999999998,0,1,-1.3800000000000001,48,0,0,1,0.0,60.69,51.814104376085,31.436399999999992
CCCCC(=O)O,2.733,1.2612,7,1,2,1,102.13299999999998,3,0,-0.53,42,0,0,0,0.8,37.3,43.15477533765576,27.160799999999988
O=[N+]([O-])c1cccc([N+](=O)[O-])c1,3.76,1.503,12,4,6,0,168.10799999999998,2,1,-1.98,62,0,0,1,0.0,86.28,66.73735456449656,39.75080000000001
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,4.0599999,1.2086,13,5,7,1,184.10699999999997,2,1,-2.18,68,0,0,1,0.0,106.51000000000002,71.53158831669259,41.41560000000001
Oc1ccc2ccccc2c1,3.79,2.5454,11,1,1,1,144.17299999999997,0,2,-1.5,54,0,0,2,0.0,20.23,64.90730140342819,45.61280000000002
Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1,4.79,4.295620000000004,16,1,1,1,220.356,0,1,-0.98,90,0,0,1,0.6,20.23,99.51011590126244,70.24380000000005
ClCc1ccccc1,3.0599999,2.4254000000000007,8,0,1,0,126.58599999999996,1,1,-0.49000000000000005,42,0,0,1,0.14285714285714285,0.0,54.09961146077524,35.99900000000001
Cc1ccc(O)cc1,2.8399999,1.7006199999999998,8,1,1,1,108.13999999999999,0,1,-0.98,42,0,0,1,0.14285714285714285,20.23,48.59057898608958,32.843799999999995
Clc1ccc(Cl)cc1,3.53,2.993400000000001,8,0,2,0,147.00400000000002,0,1,-0.20000000000000007,42,0,0,1,0.0,0.0,58.037935573260306,36.46200000000001
CNc1ccccc1,3.0599999,1.7283,8,1,1,1,107.15599999999998,1,1,-0.9800000000000001,42,0,0,1,0.14285714285714285,12.03,49.34620741750161,35.98870000000001
Nc1cccc([N+](=O)[O-])c1,3.03,1.177,10,3,4,1,138.126,1,1,-1.58,52,0,0,1,0.0,69.16,57.42426953900948,37.50880000000001
CC(=O)N(C)C,1.051,0.09450000000000003,6,1,2,0,87.122,0,0,-0.53,36,0,0,0,0.75,20.310000000000002,37.75543314126651,24.36799999999999
Oc1ccccc1Br,3.3299999,2.1547,8,1,2,1,173.009,0,1,-0.5000000000000001,42,0,0,1,0.0,20.23,56.09318447733434,35.8068
Clc1ccccc1Cl,3.53,2.9934000000000003,8,0,2,0,147.00399999999996,0,1,-0.20000000000000007,42,0,0,1,0.0,0.0,58.037935573260306,36.46200000000001
Nc1ccc(O)cc1,2.9200001,0.9743999999999999,8,2,2,2,109.12799999999999,0,1,-1.1800000000000002,42,0,0,1,0.0,46.25,47.56552756870569,32.5192
Oc1ccccc1,2.6500001,1.3921999999999999,7,1,1,1,94.11299999999999,0,1,-0.9800000000000001,36,0,0,1,0.0,20.23,42.22563687169298,28.106799999999993
S=C=Nc1ccccc1,4.4099998,2.4209000000000005,9,2,2,0,135.19099999999997,1,1,-0.9800000000000001,44,0,0,1,0.0,12.36,59.05044796695857,41.128000000000014
O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1,2.8399999,1.1167999999999996,16,7,10,1,229.10399999999998,3,1,-2.7800000000000007,84,0,0,1,0.0,149.65,86.18456403919237,48.07
c1ccncc1,1.6799999,1.0816,6,1,1,0,79.10199999999998,0,1,-0.8500000000000001,30,0,0,1,0.0,12.89,36.651051100443475,24.236999999999995
Oc1cccc(O)c1,2.3499999,1.0977999999999999,8,2,2,2,110.11199999999998,0,1,-1.1800000000000002,42,0,0,1,0.0,40.46,47.01987062388899,29.771599999999992
O=C(O)c1ccccc1,2.7,1.3848,9,1,2,1,122.12299999999996,1,1,-1.31,46,0,0,1,0.0,37.3,52.75210108613335,33.4013
C=Cc1ccccc1,2.98,2.3296,8,0,0,0,104.15199999999997,1,1,-1.04,40,0,0,1,0.0,0.0,49.47168431610592,36.53300000000001
Sc1ccccc1,4.6599998,1.9752999999999996,7,1,1,1,110.18099999999997,0,1,-0.43000000000000005,36,0,0,1,0.0,0.0,48.58646978289869,33.694
Oc1ccc(Br)cc1,3.6800001,2.1547,8,1,2,1,173.00900000000001,0,1,-0.5000000000000001,42,0,0,1,0.0,20.23,56.09318447733433,35.80680000000001
Brc1ccccc1,3.0799999,2.4491000000000005,7,0,1,0,157.01,0,1,-0.30000000000000004,36,0,0,1,0.0,0.0,51.298950725138326,34.142
CCCCCCCC(=O)O,3.0810001,2.4314999999999998,10,1,2,1,144.214,6,0,-0.53,60,0,0,0,0.875,37.3,62.24960168084558,41.0118
CC(C)=O,0.796,0.5952999999999999,4,1,1,0,58.080000000000005,0,0,-0.33,24,0,0,0,0.6666666666666666,17.07,25.63065735666653,16.355
C=CCO,1.082,0.1647,4,1,1,1,58.08,1,0,-0.3,24,0,0,0,0.3333333333333333,20.23,25.573765976634522,17.2828
CCOC(=O)c1ccc(N)cc1,3.7,1.4455,12,3,3,1,165.19199999999998,2,1,-1.5099999999999998,64,0,0,1,0.2222222222222222,52.32,71.14118748925014,46.81090000000002
O=C(c1ccccc1)c1ccccc1,3.8699999,2.917600000000001,14,1,1,0,182.222,2,2,-1.8899999999999997,68,0,0,2,0.0,17.07,83.01496154000138,56.316500000000026
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,6.0900002,3.9954000000000023,17,2,4,2,269.127,2,2,-1.3800000000000001,88,0,0,2,0.07692307692307693,40.46,109.04843939811299,69.03960000000002
c1ccc(-c2ccccc2)cc1,4.0500002,3.353600000000001,12,0,0,0,154.21199999999996,1,2,-1.5599999999999996,58,0,0,2,0.0,0.0,72.48849732556099,51.87800000000003
CCC(=O)O,2.4879999,0.481,5,1,2,1,74.079,1,0,-0.53,30,0,0,0,0.6666666666666666,37.3,30.42489110886254,17.9268
O=C(O)CCC(=O)O,2.0610001,-0.06420000000000009,8,2,4,2,118.088,3,0,-1.06,46,0,0,0,0.5,74.6,45.74558907549893,24.505599999999994
ClC(Cl)(Cl)Cl,2.98,2.5529,5,0,4,0,153.823,0,0,1.16,32,0,0,0,1.0,0.0,49.952315935356246,26.143
CCOC(N)=O,1.35,0.10160000000000025,6,2,3,1,89.09400000000001,1,0,-0.73,36,0,0,0,0.6666666666666666,52.32,36.08409328318613,21.2094
CCC(C)=O,1.2539999,0.9854,5,1,1,0,72.10699999999999,1,0,-0.33,30,0,0,0,0.75,17.07,31.995599471063137,20.971999999999994
Cc1ccccc1,3.25,1.99502,7,0,0,0,92.14099999999999,0,1,-0.78,36,0,0,1,0.14285714285714285,0.0,43.79634523389357,31.17899999999999
C=C(C)C(=O)OC,1.78,0.7355,7,2,2,0,100.11699999999998,1,0,-0.79,40,0,0,0,0.4,26.3,42.78448378278237,26.829999999999988
COc1ccccc1O,2.49,1.4008,9,2,2,1,124.13899999999997,1,1,-1.1800000000000002,48,0,0,1,0.14285714285714285,29.46,53.704124215596465,34.6588
Oc1ccc(Cl)cc1,3.54,2.0456,8,1,2,1,128.558,0,1,-0.6900000000000001,42,0,0,1,0.0,20.23,52.52890309857465,33.1168
OCCN(CCO)CCO,1.251,-1.734699999999999,10,4,4,3,149.19,6,0,-0.16,62,0,0,0,1.0,63.93000000000001,60.706496526603985,37.6974
CCCC(CCC)C(=O)O,3.026,2.2874,10,1,2,1,144.214,5,0,-0.53,60,0,0,0,0.875,37.3,62.24960168084558,40.9418
NCCO,1.115,-1.0626000000000002,4,2,2,2,61.083999999999996,1,0,-0.08,26,0,0,0,1.0,46.25,25.238317591434885,16.140200000000004
CCCCCCc1ccc(O)cc1O,4.8000002,3.2206000000000023,14,2,2,2,194.274,5,1,-1.18,78,0,0,1,0.5,40.46,85.20952331026865,57.617600000000046
NC(=O)c1ccccc1O,2.76,0.49110000000000004,10,2,3,2,137.13799999999998,1,1,-1.51,52,0,0,1,0.0,63.32000000000001,58.09199178314606,36.62470000000002
O=Cc1ccc(O)c(O)c1,3.1070001,0.9102999999999999,10,3,3,2,138.12199999999999,1,1,-1.5100000000000002,52,0,0,1,0.0,57.53,57.54633483832936,35.1591
